=== dscale_co2_emissions TFC 降尺度日志 ===
运行时间: 2026-06-08T11:33:28.102177

IEA 匹配统计: 单列国家 220 个, 合并后基准 220 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=9892.47 TJ, GCAM=9892.47 TJ, 偏差=0.000000 TJ
2020: 国家合计=11285.93 TJ, GCAM=11285.93 TJ, 偏差=0.000000 TJ
2025: 国家合计=12063.12 TJ, GCAM=12063.12 TJ, 偏差=0.000000 TJ
2030: 国家合计=12469.08 TJ, GCAM=12469.08 TJ, 偏差=0.000000 TJ
2035: 国家合计=12604.18 TJ, GCAM=12604.18 TJ, 偏差=0.000000 TJ
2040: 国家合计=12540.67 TJ, GCAM=12540.67 TJ, 偏差=0.000000 TJ
2045: 国家合计=12316.93 TJ, GCAM=12316.93 TJ, 偏差=0.000000 TJ
2050: 国家合计=11962.85 TJ, GCAM=11962.85 TJ, 偏差=0.000000 TJ
2055: 国家合计=11724.83 TJ, GCAM=11724.83 TJ, 偏差=0.000000 TJ
2060: 国家合计=11611.08 TJ, GCAM=11611.08 TJ, 偏差=0.000000 TJ
2065: 国家合计=11519.55 TJ, GCAM=11519.55 TJ, 偏差=0.000000 TJ
2070: 国家合计=11549.01 TJ, GCAM=11549.01 TJ, 偏差=0.000000 TJ
2075: 国家合计=11471.41 TJ, GCAM=11471.41 TJ, 偏差=0.000000 TJ
2080: 国家合计=11089.31 TJ, GCAM=11089.31 TJ, 偏差=0.000000 TJ
2085: 国家合计=10763.55 TJ, GCAM=10763.55 TJ, 偏差=0.000000 TJ
2090: 国家合计=10456.88 TJ, GCAM=10456.88 TJ, 偏差=0.000000 TJ
2095: 国家合计=10191.43 TJ, GCAM=10191.43 TJ, 偏差=0.000000 TJ
2100: 国家合计=9953.33 TJ, GCAM=9953.33 TJ, 偏差=0.000000 TJ

