=== dscale_electricity TFC 降尺度日志 ===
运行时间: 2026-05-14T22:36:44.632929

IEA 匹配统计: 单列国家 147 个, 合并后基准 175 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=23676658.06 TJ, GCAM=23676658.06 TJ, 偏差=0.000000 TJ
2020: 国家合计=27956316.21 TJ, GCAM=27956316.21 TJ, 偏差=0.000000 TJ
2025: 国家合计=33766499.66 TJ, GCAM=33766499.66 TJ, 偏差=0.000000 TJ
2030: 国家合计=39985390.79 TJ, GCAM=39985390.79 TJ, 偏差=0.000000 TJ
2035: 国家合计=45851607.60 TJ, GCAM=45851607.60 TJ, 偏差=0.000000 TJ
2040: 国家合计=51255343.23 TJ, GCAM=51255343.23 TJ, 偏差=0.000000 TJ
2045: 国家合计=55921775.94 TJ, GCAM=55921775.94 TJ, 偏差=0.000000 TJ
2050: 国家合计=59878044.78 TJ, GCAM=59878044.78 TJ, 偏差=0.000000 TJ
2055: 国家合计=63271743.86 TJ, GCAM=63271743.86 TJ, 偏差=0.000000 TJ
2060: 国家合计=66358355.62 TJ, GCAM=66358355.62 TJ, 偏差=0.000000 TJ
2065: 国家合计=69089453.39 TJ, GCAM=69089453.39 TJ, 偏差=0.000000 TJ
2070: 国家合计=71461884.72 TJ, GCAM=71461884.72 TJ, 偏差=0.000000 TJ
2075: 国家合计=73419561.49 TJ, GCAM=73419561.49 TJ, 偏差=0.000000 TJ
2080: 国家合计=74841064.79 TJ, GCAM=74841064.79 TJ, 偏差=0.000000 TJ
2085: 国家合计=75955649.60 TJ, GCAM=75955649.60 TJ, 偏差=0.000000 TJ
2090: 国家合计=76839410.58 TJ, GCAM=76839410.58 TJ, 偏差=0.000000 TJ
2095: 国家合计=77581972.72 TJ, GCAM=77581972.72 TJ, 偏差=0.000000 TJ
2100: 国家合计=78228158.00 TJ, GCAM=78228158.00 TJ, 偏差=0.000000 TJ

