=== dscale_green_elec TFC 降尺度日志 ===
运行时间: 2026-05-14T22:36:57.997677

IEA 匹配统计: 单列国家 147 个, 合并后基准 175 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=5386334.56 TJ, GCAM=5386334.56 TJ, 偏差=0.000000 TJ
2020: 国家合计=7422695.08 TJ, GCAM=7422695.08 TJ, 偏差=0.000000 TJ
2025: 国家合计=10746331.72 TJ, GCAM=10746331.72 TJ, 偏差=0.000000 TJ
2030: 国家合计=14589577.15 TJ, GCAM=14589577.15 TJ, 偏差=0.000000 TJ
2035: 国家合计=18441957.86 TJ, GCAM=18441957.86 TJ, 偏差=0.000000 TJ
2040: 国家合计=22281282.83 TJ, GCAM=22281282.83 TJ, 偏差=0.000000 TJ
2045: 国家合计=25455642.72 TJ, GCAM=25455642.72 TJ, 偏差=0.000000 TJ
2050: 国家合计=28318121.36 TJ, GCAM=28318121.36 TJ, 偏差=0.000000 TJ
2055: 国家合计=30607071.65 TJ, GCAM=30607071.65 TJ, 偏差=0.000000 TJ
2060: 国家合计=32569951.46 TJ, GCAM=32569951.46 TJ, 偏差=0.000000 TJ
2065: 国家合计=34711281.65 TJ, GCAM=34711281.65 TJ, 偏差=0.000001 TJ
2070: 国家合计=36345763.40 TJ, GCAM=36345763.40 TJ, 偏差=0.000000 TJ
2075: 国家合计=38000986.74 TJ, GCAM=38000986.74 TJ, 偏差=0.000000 TJ
2080: 国家合计=40571610.91 TJ, GCAM=40571610.91 TJ, 偏差=0.000000 TJ
2085: 国家合计=42745189.66 TJ, GCAM=42745189.66 TJ, 偏差=0.000000 TJ
2090: 国家合计=44696554.70 TJ, GCAM=44696554.70 TJ, 偏差=0.000000 TJ
2095: 国家合计=46380481.78 TJ, GCAM=46380481.78 TJ, 偏差=0.000000 TJ
2100: 国家合计=47959757.09 TJ, GCAM=47959757.09 TJ, 偏差=0.000000 TJ

