=== dscale_tfc TFC 降尺度日志 ===
运行时间: 2026-06-08T11:24:25.443254

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000004 TJ

2015: 国家合计=431292626.61 TJ, GCAM=431292626.61 TJ, 偏差=0.000000 TJ
2020: 国家合计=491962984.63 TJ, GCAM=491962984.63 TJ, 偏差=0.000000 TJ
2025: 国家合计=537037808.01 TJ, GCAM=537037808.01 TJ, 偏差=0.000000 TJ
2030: 国家合计=571814055.82 TJ, GCAM=571814055.82 TJ, 偏差=0.000000 TJ
2035: 国家合计=600742117.90 TJ, GCAM=600742117.90 TJ, 偏差=0.000000 TJ
2040: 国家合计=625833923.44 TJ, GCAM=625833923.44 TJ, 偏差=0.000000 TJ
2045: 国家合计=646725163.50 TJ, GCAM=646725163.50 TJ, 偏差=0.000000 TJ
2050: 国家合计=662016992.27 TJ, GCAM=662016992.27 TJ, 偏差=0.000000 TJ
2055: 国家合计=674502310.74 TJ, GCAM=674502310.74 TJ, 偏差=0.000000 TJ
2060: 国家合计=685067280.47 TJ, GCAM=685067280.47 TJ, 偏差=0.000000 TJ
2065: 国家合计=693045467.36 TJ, GCAM=693045467.36 TJ, 偏差=0.000000 TJ
2070: 国家合计=698878309.51 TJ, GCAM=698878309.51 TJ, 偏差=0.000000 TJ
2075: 国家合计=702204947.88 TJ, GCAM=702204947.88 TJ, 偏差=0.000000 TJ
2080: 国家合计=703801037.83 TJ, GCAM=703801037.83 TJ, 偏差=0.000000 TJ
2085: 国家合计=704284416.84 TJ, GCAM=704284416.84 TJ, 偏差=0.000000 TJ
2090: 国家合计=703968944.17 TJ, GCAM=703968944.17 TJ, 偏差=0.000000 TJ
2095: 国家合计=702971952.23 TJ, GCAM=702971952.23 TJ, 偏差=0.000000 TJ
2100: 国家合计=701731977.71 TJ, GCAM=701731977.71 TJ, 偏差=0.000000 TJ

