=== kaya_electricity TFC 降尺度日志 ===
运行时间: 2026-06-02T20:20:58.403001

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=23676658.06 TJ, GCAM=23676658.06 TJ, 偏差=0.000000 TJ
2020: 国家合计=28073293.57 TJ, GCAM=28073293.57 TJ, 偏差=0.000000 TJ
2025: 国家合计=34067139.46 TJ, GCAM=34067139.46 TJ, 偏差=0.000000 TJ
2030: 国家合计=41432582.03 TJ, GCAM=41432582.03 TJ, 偏差=0.000000 TJ
2035: 国家合计=49539265.92 TJ, GCAM=49539265.92 TJ, 偏差=0.000000 TJ
2040: 国家合计=58002215.34 TJ, GCAM=58002215.34 TJ, 偏差=0.000000 TJ
2045: 国家合计=66312085.03 TJ, GCAM=66312085.03 TJ, 偏差=0.000000 TJ
2050: 国家合计=74562442.11 TJ, GCAM=74562442.11 TJ, 偏差=0.000000 TJ
2055: 国家合计=82430656.39 TJ, GCAM=82430656.39 TJ, 偏差=0.000000 TJ
2060: 国家合计=90247752.66 TJ, GCAM=90247752.66 TJ, 偏差=0.000000 TJ
2065: 国家合计=97516515.38 TJ, GCAM=97516515.38 TJ, 偏差=0.000000 TJ
2070: 国家合计=103370625.58 TJ, GCAM=103370625.58 TJ, 偏差=0.000000 TJ
2075: 国家合计=107916801.29 TJ, GCAM=107916801.29 TJ, 偏差=0.000000 TJ
2080: 国家合计=111319066.37 TJ, GCAM=111319066.37 TJ, 偏差=0.000000 TJ
2085: 国家合计=113668457.32 TJ, GCAM=113668457.32 TJ, 偏差=0.000000 TJ
2090: 国家合计=114928638.83 TJ, GCAM=114928638.83 TJ, 偏差=0.000000 TJ
2095: 国家合计=115267252.82 TJ, GCAM=115267252.82 TJ, 偏差=0.000000 TJ
2100: 国家合计=115046523.42 TJ, GCAM=115046523.42 TJ, 偏差=0.000000 TJ

