=== kaya_fossil_tes TFC 降尺度日志 ===
运行时间: 2026-06-08T12:30:00.262076

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=470687049.36 TJ, GCAM=470687049.36 TJ, 偏差=0.000000 TJ
2020: 国家合计=537969658.11 TJ, GCAM=537969658.11 TJ, 偏差=0.000000 TJ
2025: 国家合计=577278681.82 TJ, GCAM=577278681.82 TJ, 偏差=0.000000 TJ
2030: 国家合计=602992280.50 TJ, GCAM=602992280.50 TJ, 偏差=0.000000 TJ
2035: 国家合计=618732411.51 TJ, GCAM=618732411.51 TJ, 偏差=0.000000 TJ
2040: 国家合计=625925243.67 TJ, GCAM=625925243.67 TJ, 偏差=0.000000 TJ
2045: 国家合计=626525040.60 TJ, GCAM=626525040.60 TJ, 偏差=0.000000 TJ
2050: 国家合计=620820690.41 TJ, GCAM=620820690.41 TJ, 偏差=0.000000 TJ
2055: 国家合计=618720995.35 TJ, GCAM=618720995.35 TJ, 偏差=0.000000 TJ
2060: 国家合计=619520123.73 TJ, GCAM=619520123.73 TJ, 偏差=0.000000 TJ
2065: 国家合计=617355214.22 TJ, GCAM=617355214.22 TJ, 偏差=0.000000 TJ
2070: 国家合计=618801565.11 TJ, GCAM=618801565.11 TJ, 偏差=0.000000 TJ
2075: 国家合计=615602062.91 TJ, GCAM=615602062.91 TJ, 偏差=0.000000 TJ
2080: 国家合计=601942252.40 TJ, GCAM=601942252.40 TJ, 偏差=0.000000 TJ
2085: 国家合计=590263589.43 TJ, GCAM=590263589.43 TJ, 偏差=0.000000 TJ
2090: 国家合计=579656273.43 TJ, GCAM=579656273.43 TJ, 偏差=0.000000 TJ
2095: 国家合计=570783692.79 TJ, GCAM=570783692.79 TJ, 偏差=0.000000 TJ
2100: 国家合计=562633841.90 TJ, GCAM=562633841.90 TJ, 偏差=0.000000 TJ

