=== kaya_industry_co2 TFC 降尺度日志 ===
运行时间: 2026-06-02T20:17:05.003005

IEA 匹配统计: 单列国家 199 个, 合并后基准 199 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=11718780.03 TJ, GCAM=11718780.03 TJ, 偏差=0.000000 TJ
2020: 国家合计=13304230.76 TJ, GCAM=13304230.76 TJ, 偏差=0.000000 TJ
2025: 国家合计=14802957.20 TJ, GCAM=14802957.20 TJ, 偏差=0.000000 TJ
2030: 国家合计=15736516.69 TJ, GCAM=15736516.69 TJ, 偏差=0.000000 TJ
2035: 国家合计=16293212.87 TJ, GCAM=16293212.87 TJ, 偏差=0.000000 TJ
2040: 国家合计=16852110.02 TJ, GCAM=16852110.02 TJ, 偏差=0.000000 TJ
2045: 国家合计=17502991.93 TJ, GCAM=17502991.93 TJ, 偏差=0.000000 TJ
2050: 国家合计=18083933.14 TJ, GCAM=18083933.14 TJ, 偏差=0.000000 TJ
2055: 国家合计=18358126.66 TJ, GCAM=18358126.66 TJ, 偏差=0.000000 TJ
2060: 国家合计=18310410.25 TJ, GCAM=18310410.25 TJ, 偏差=0.000000 TJ
2065: 国家合计=18117867.16 TJ, GCAM=18117867.16 TJ, 偏差=0.000000 TJ
2070: 国家合计=17825422.35 TJ, GCAM=17825422.35 TJ, 偏差=0.000000 TJ
2075: 国家合计=17500049.26 TJ, GCAM=17500049.26 TJ, 偏差=0.000000 TJ
2080: 国家合计=17213121.91 TJ, GCAM=17213121.91 TJ, 偏差=0.000000 TJ
2085: 国家合计=16931646.71 TJ, GCAM=16931646.71 TJ, 偏差=0.000000 TJ
2090: 国家合计=16659768.98 TJ, GCAM=16659768.98 TJ, 偏差=0.000000 TJ
2095: 国家合计=16395989.40 TJ, GCAM=16395989.40 TJ, 偏差=0.000000 TJ
2100: 国家合计=16146419.14 TJ, GCAM=16146419.14 TJ, 偏差=0.000000 TJ

