=== kaya_renewable_tes TFC 降尺度日志 ===
运行时间: 2026-06-02T20:15:24.515339

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=72571426.86 TJ, GCAM=72571426.86 TJ, 偏差=0.000000 TJ
2020: 国家合计=84249301.86 TJ, GCAM=84249301.86 TJ, 偏差=0.000000 TJ
2025: 国家合计=102870186.96 TJ, GCAM=102870186.96 TJ, 偏差=0.000000 TJ
2030: 国家合计=123351694.14 TJ, GCAM=123351694.14 TJ, 偏差=0.000000 TJ
2035: 国家合计=146476311.13 TJ, GCAM=146476311.13 TJ, 偏差=0.000000 TJ
2040: 国家合计=174340757.27 TJ, GCAM=174340757.27 TJ, 偏差=0.000000 TJ
2045: 国家合计=205000849.80 TJ, GCAM=205000849.80 TJ, 偏差=0.000000 TJ
2050: 国家合计=234916449.42 TJ, GCAM=234916449.42 TJ, 偏差=0.000000 TJ
2055: 国家合计=254986874.27 TJ, GCAM=254986874.27 TJ, 偏差=0.000000 TJ
2060: 国家合计=266212022.98 TJ, GCAM=266212022.98 TJ, 偏差=0.000000 TJ
2065: 国家合计=275687256.17 TJ, GCAM=275687256.17 TJ, 偏差=0.000000 TJ
2070: 国家合计=280787499.65 TJ, GCAM=280787499.65 TJ, 偏差=0.000000 TJ
2075: 国家合计=285856165.38 TJ, GCAM=285856165.38 TJ, 偏差=0.000000 TJ
2080: 国家合计=294553578.03 TJ, GCAM=294553578.03 TJ, 偏差=0.000000 TJ
2085: 国家合计=302270935.74 TJ, GCAM=302270935.74 TJ, 偏差=0.000000 TJ
2090: 国家合计=309307479.34 TJ, GCAM=309307479.34 TJ, 偏差=0.000000 TJ
2095: 国家合计=315297941.30 TJ, GCAM=315297941.30 TJ, 偏差=0.000000 TJ
2100: 国家合计=320873451.75 TJ, GCAM=320873451.75 TJ, 偏差=0.000000 TJ

