=== kaya_tes TFC 降尺度日志 ===
运行时间: 2026-06-08T12:29:07.640229

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=552505844.52 TJ, GCAM=552505844.52 TJ, 偏差=0.000000 TJ
2020: 国家合计=632765563.48 TJ, GCAM=632765563.48 TJ, 偏差=0.000000 TJ
2025: 国家合计=692411574.88 TJ, GCAM=692411574.88 TJ, 偏差=0.000000 TJ
2030: 国家合计=740671722.60 TJ, GCAM=740671722.60 TJ, 偏差=0.000000 TJ
2035: 国家合计=781647503.65 TJ, GCAM=781647503.65 TJ, 偏差=0.000000 TJ
2040: 国家合计=818640770.23 TJ, GCAM=818640770.23 TJ, 偏差=0.000000 TJ
2045: 国家合计=852066431.00 TJ, GCAM=852066431.00 TJ, 偏差=0.000000 TJ
2050: 国家合计=878003917.62 TJ, GCAM=878003917.62 TJ, 偏差=0.000000 TJ
2055: 国家合计=897488940.16 TJ, GCAM=897488940.16 TJ, 偏差=0.000000 TJ
2060: 国家合计=911100313.71 TJ, GCAM=911100313.71 TJ, 偏差=0.000000 TJ
2065: 国家合计=920122895.42 TJ, GCAM=920122895.42 TJ, 偏差=0.000000 TJ
2070: 国家合计=928080516.69 TJ, GCAM=928080516.69 TJ, 偏差=0.000000 TJ
2075: 国家合计=931184951.22 TJ, GCAM=931184951.22 TJ, 偏差=0.000000 TJ
2080: 国家合计=926578662.64 TJ, GCAM=926578662.64 TJ, 偏差=0.000000 TJ
2085: 国家合计=922530766.20 TJ, GCAM=922530766.20 TJ, 偏差=0.000000 TJ
2090: 国家合计=918264442.36 TJ, GCAM=918264442.36 TJ, 偏差=0.000000 TJ
2095: 国家合计=914268063.01 TJ, GCAM=914268063.01 TJ, 偏差=0.000000 TJ
2100: 国家合计=910321863.46 TJ, GCAM=910321863.46 TJ, 偏差=0.000000 TJ

