=== kaya_tfc TFC 降尺度日志 ===
运行时间: 2026-06-08T12:28:40.276481

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=431292626.61 TJ, GCAM=431292626.61 TJ, 偏差=0.000000 TJ
2020: 国家合计=483447717.44 TJ, GCAM=483447717.44 TJ, 偏差=0.000000 TJ
2025: 国家合计=514751987.22 TJ, GCAM=514751987.22 TJ, 偏差=0.000000 TJ
2030: 国家合计=543614178.37 TJ, GCAM=543614178.37 TJ, 偏差=0.000000 TJ
2035: 国家合计=571206391.02 TJ, GCAM=571206391.02 TJ, 偏差=0.000000 TJ
2040: 国家合计=598314940.66 TJ, GCAM=598314940.66 TJ, 偏差=0.000000 TJ
2045: 国家合计=619957117.68 TJ, GCAM=619957117.68 TJ, 偏差=0.000000 TJ
2050: 国家合计=637439460.69 TJ, GCAM=637439460.69 TJ, 偏差=0.000000 TJ
2055: 国家合计=651226601.06 TJ, GCAM=651226601.06 TJ, 偏差=0.000000 TJ
2060: 国家合计=660454185.82 TJ, GCAM=660454185.82 TJ, 偏差=0.000000 TJ
2065: 国家合计=662616128.34 TJ, GCAM=662616128.34 TJ, 偏差=0.000000 TJ
2070: 国家合计=659091116.53 TJ, GCAM=659091116.53 TJ, 偏差=0.000000 TJ
2075: 国家合计=650824104.62 TJ, GCAM=650824104.62 TJ, 偏差=0.000000 TJ
2080: 国家合计=638493206.45 TJ, GCAM=638493206.45 TJ, 偏差=0.000000 TJ
2085: 国家合计=622454579.55 TJ, GCAM=622454579.55 TJ, 偏差=0.000000 TJ
2090: 国家合计=603586381.49 TJ, GCAM=603586381.49 TJ, 偏差=0.000000 TJ
2095: 国家合计=582411985.13 TJ, GCAM=582411985.13 TJ, 偏差=0.000000 TJ
2100: 国家合计=560736059.90 TJ, GCAM=560736059.90 TJ, 偏差=0.000000 TJ

