=== logit_co2_emissions TFC 降尺度日志 ===
运行时间: 2026-06-08T12:29:24.982396

IEA 匹配统计: 单列国家 220 个, 合并后基准 220 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=9892.47 TJ, GCAM=9892.47 TJ, 偏差=0.000003 TJ
2020: 国家合计=11041.95 TJ, GCAM=11041.95 TJ, 偏差=0.000006 TJ
2025: 国家合计=11005.67 TJ, GCAM=11005.67 TJ, 偏差=0.000002 TJ
2030: 国家合计=10329.71 TJ, GCAM=10329.71 TJ, 偏差=0.000003 TJ
2035: 国家合计=9152.71 TJ, GCAM=9152.71 TJ, 偏差=0.000003 TJ
2040: 国家合计=7925.46 TJ, GCAM=7925.46 TJ, 偏差=0.000000 TJ
2045: 国家合计=6610.77 TJ, GCAM=6610.77 TJ, 偏差=0.000006 TJ
2050: 国家合计=5441.41 TJ, GCAM=5441.41 TJ, 偏差=0.000002 TJ
2055: 国家合计=4544.07 TJ, GCAM=4544.07 TJ, 偏差=0.000001 TJ
2060: 国家合计=3804.86 TJ, GCAM=3804.86 TJ, 偏差=0.000004 TJ
2065: 国家合计=3037.66 TJ, GCAM=3037.66 TJ, 偏差=0.000000 TJ
2070: 国家合计=2264.73 TJ, GCAM=2264.73 TJ, 偏差=0.000000 TJ
2075: 国家合计=1491.44 TJ, GCAM=1491.44 TJ, 偏差=0.000004 TJ
2080: 国家合计=760.10 TJ, GCAM=760.10 TJ, 偏差=0.000001 TJ
2085: 国家合计=59.82 TJ, GCAM=59.82 TJ, 偏差=0.000003 TJ
2090: 国家合计=-585.60 TJ, GCAM=-585.60 TJ, 偏差=0.000000 TJ
2095: 国家合计=-1147.08 TJ, GCAM=-1147.08 TJ, 偏差=0.000005 TJ
2100: 国家合计=-1628.71 TJ, GCAM=-1628.71 TJ, 偏差=0.000008 TJ

