=== logit_electricity TFC 降尺度日志 ===
运行时间: 2026-06-08T12:29:01.846057

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000004 TJ

2015: 国家合计=85235969.03 TJ, GCAM=85235969.03 TJ, 偏差=0.000003 TJ
2020: 国家合计=101063856.86 TJ, GCAM=101063856.86 TJ, 偏差=0.000002 TJ
2025: 国家合计=122641702.04 TJ, GCAM=122641702.04 TJ, 偏差=0.000002 TJ
2030: 国家合计=149157295.30 TJ, GCAM=149157295.30 TJ, 偏差=0.000004 TJ
2035: 国家合计=178341357.29 TJ, GCAM=178341357.29 TJ, 偏差=0.000006 TJ
2040: 国家合计=208807975.24 TJ, GCAM=208807975.24 TJ, 偏差=0.000004 TJ
2045: 国家合计=238723506.10 TJ, GCAM=238723506.10 TJ, 偏差=0.000002 TJ
2050: 国家合计=268424791.59 TJ, GCAM=268424791.59 TJ, 偏差=0.000000 TJ
2055: 国家合计=296750363.02 TJ, GCAM=296750363.02 TJ, 偏差=0.000002 TJ
2060: 国家合计=324891909.57 TJ, GCAM=324891909.57 TJ, 偏差=0.000002 TJ
2065: 国家合计=351059455.36 TJ, GCAM=351059455.36 TJ, 偏差=0.000003 TJ
2070: 国家合计=372134252.10 TJ, GCAM=372134252.10 TJ, 偏差=0.000001 TJ
2075: 国家合计=388500484.65 TJ, GCAM=388500484.65 TJ, 偏差=0.000000 TJ
2080: 国家合计=400748638.93 TJ, GCAM=400748638.93 TJ, 偏差=0.000003 TJ
2085: 国家合计=409206446.35 TJ, GCAM=409206446.35 TJ, 偏差=0.000001 TJ
2090: 国家合计=413743099.78 TJ, GCAM=413743099.78 TJ, 偏差=0.000002 TJ
2095: 国家合计=414962110.15 TJ, GCAM=414962110.15 TJ, 偏差=0.000004 TJ
2100: 国家合计=414167484.32 TJ, GCAM=414167484.32 TJ, 偏差=0.000002 TJ

