=== logit_green_elec TFC 降尺度日志 ===
运行时间: 2026-06-08T12:15:51.350931

IEA 匹配统计: 单列国家 148 个, 合并后基准 179 个

区域守恒: 最大偏差 = 0.000003 TJ

2015: 国家合计=19390804.43 TJ, GCAM=19390804.43 TJ, 偏差=0.000005 TJ
2020: 国家合计=26721702.29 TJ, GCAM=26721702.29 TJ, 偏差=0.000002 TJ
2025: 国家合计=38686794.20 TJ, GCAM=38686794.20 TJ, 偏差=0.000007 TJ
2030: 国家合计=52522477.73 TJ, GCAM=52522477.73 TJ, 偏差=0.000004 TJ
2035: 国家合计=66391048.28 TJ, GCAM=66391048.28 TJ, 偏差=0.000001 TJ
2040: 国家合计=80212618.17 TJ, GCAM=80212618.17 TJ, 偏差=0.000000 TJ
2045: 国家合计=91640313.80 TJ, GCAM=91640313.80 TJ, 偏差=0.000002 TJ
2050: 国家合计=101945236.91 TJ, GCAM=101945236.91 TJ, 偏差=0.000001 TJ
2055: 国家合计=110185457.94 TJ, GCAM=110185457.94 TJ, 偏差=0.000005 TJ
2060: 国家合计=117251825.26 TJ, GCAM=117251825.26 TJ, 偏差=0.000004 TJ
2065: 国家合计=124960613.95 TJ, GCAM=124960613.95 TJ, 偏差=0.000005 TJ
2070: 国家合计=130844748.24 TJ, GCAM=130844748.24 TJ, 偏差=0.000008 TJ
2075: 国家合计=136803552.26 TJ, GCAM=136803552.26 TJ, 偏差=0.000003 TJ
2080: 国家合计=146057799.29 TJ, GCAM=146057799.29 TJ, 偏差=0.000001 TJ
2085: 国家合计=153882682.79 TJ, GCAM=153882682.79 TJ, 偏差=0.000001 TJ
2090: 国家合计=160907596.93 TJ, GCAM=160907596.93 TJ, 偏差=0.000007 TJ
2095: 国家合计=166969734.41 TJ, GCAM=166969734.41 TJ, 偏差=0.000000 TJ
2100: 国家合计=172655125.54 TJ, GCAM=172655125.54 TJ, 偏差=0.000002 TJ

